R,G,B
63.94022253787879,59.29565183080808,51.79060132575758
63.748263888888886,58.891256313131315,51.5457702020202
63.563802083333336,58.46689551767677,51.371567234848484
63.44570707070707,58.21606691919192,51.187973484848484
63.65928819444444,58.46121369949495,51.43154198232323
63.92550505050505,58.89078282828283,51.65861742424242
63.88987531565657,58.939591224747474,51.62930082070707
63.90542140151515,58.96050347222222,51.638533775252526
63.97356376262626,59.07125946969697,51.721511994949495
64.13995422979798,59.3175110479798,51.92704387626262
64.26148200757575,59.53373579545455,52.005642361111114
64.37677556818181,59.80212279040404,52.128353851010104
64.52391098484848,60.02896148989899,52.299794823232325
64.57666508838383,60.21981534090909,52.29794034090909
64.73086332070707,60.43256786616162,52.483230744949495
64.81147411616162,60.60408775252525,52.52217487373738
64.94625946969697,60.837515782828284,52.64764835858586
65.06202651515152,61.04924242424242,52.753945707070706
65.14429450757575,61.250986426767675,52.85799400252525
65.33360953282828,61.526791351010104,52.99412089646464
65.40431660353535,61.70608428030303,53.104916351010104
65.53302556818181,61.96752683080808,53.24025410353536
65.59611742424242,62.182291666666664,53.32339015151515
65.64591224747475,62.41958648989899,53.43552714646464
65.72967960858585,62.66102430555556,53.54975536616162
65.82319286616162,62.95419034090909,53.695194128787875
65.91481218434343,63.17349273989899,53.77718592171717
65.87622316919192,63.201033775252526,53.754221906565654
65.23737373737374,62.30602904040404,53.214646464646464
64.52805397727273,60.87211963383838,52.416311553030305
64.2907196969697,60.14378156565657,52.17203282828283
64.20379577020202,59.92649147727273,52.03854955808081
64.06518308080808,59.56676136363637,51.89946338383838
63.86336016414141,59.2159485479798,51.62472380050505
63.721511994949495,58.897806186868685,51.513967803030305
63.875039457070706,59.06048768939394,51.64887152777778
64.18197601010101,59.54403409090909,51.97585227272727
64.3057528409091,59.83195233585859,52.08195233585859
64.30721275252525,59.86466224747475,52.05831755050505
64.38833648989899,59.98429608585859,52.11276830808081
64.55993529040404,60.26384943181818,52.27979008838384
64.70896464646465,60.52809343434343,52.39251893939394
64.87523674242425,60.841145833333336,52.560684974747474
65.01124526515152,61.09868213383838,52.69479955808081
65.0965909090909,61.36410984848485,52.79387626262626
65.27544981060606,61.63687657828283,52.92365056818182
65.35858585858585,61.88352272727273,53.05145202020202
65.47036773989899,62.204427083333336,53.21563289141414
65.51163983585859,62.427359532828284,53.304726957070706
65.67909564393939,62.75374842171717,53.504537563131315
65.75035511363636,63.03854955808081,53.60073390151515
65.86991003787878,63.301412563131315,53.74254261363637
65.99625157828282,63.584951073232325,53.89350536616162
66.08345170454545,63.789259785353536,53.95845170454545
66.22182765151516,64.08009785353535,54.146859217171716
66.33120265151516,64.3337279040404,54.269491792929294
